name,category,city,address,email,website,phone,price,n_reviews
Walliserhof Grand-Hotel & Spa Saas-Fee,Hotel de 5 estrellas exclusivo con spa y vistas al glaciar,"Saas-Fee, Suiza","Dorfweg 1, 3906 Saas-Fee, Suiza",info@walliserhof-saasfee.ch,walliserhof-saasfee.ch,+41 27 958 19 00,368,535
Schweizerhof,Hotel de 4 estrellas exclusivo con spa y restaurante,"Saas-Fee, Suiza","Haltenstrasse 10, 3906 Saas-Fee, Suiza",info@schweizerhof-saasfee.ch,schweizerhof-saasfee.ch,+41 27 958 75 75,248,237
The Capra,Hotel de 5 estrellas,"Saas-Fee, Suiza","Lomattenstrasse 6, 3906 Saas-Fee, Suiza",NO_EMAIL,capra.ch,+41 27 958 13 58,311,317
Hotel Les Amis Saas-Fee,Hotel,"Saas-Fee, Suiza","Obere Dorfstrasse 15, 3906 Saas-Fee, Suiza",info@lesamis-saas-fee.ch,lesamis-saas-fee.ch,+41 27 530 50 15,167,90
Hotel Bristol,Hotel de 3 estrellas alpino con bar restaurante,"Saas-Fee, Suiza","Dorfstrasse 60, 3906 Saas-Fee, Suiza",info@hotel-bristol-saas-fee.ch,hotel-bristol-saas-fee.ch,+41 27 958 12 12,187,133
Amber Ski-in-out Hotel & Spa,Hotel,"Saas-Fee, Suiza","Gletscherstrasse 2, 3906 Saas-Fee, Suiza",info@amberhotel.ch,amberhotel.ch,+41 27 530 06 68,182,90
wellnessHostel4000,Albergue,"Saas-Fee, Suiza","Panoramastrasse 1, 3906 Saas-Fee, Suiza",NO_EMAIL,youthhostel.ch,+41 27 958 50 50,203,380
Hotel Alpin,Hotel de 3 estrellas,"Saas-Fee, Suiza","Mischistrasse 18, 3906 Saas-Fee, Suiza",NO_EMAIL,hotel-alpin.ch,+41 27 957 15 77,180,99
Hotel La Gorge & Restaurant Zer Schlucht,Hotel de 3 estrellas,"Saas-Fee, Suiza","Blomattenweg 2, 3906 Saas-Fee, Suiza",info@lagorge.ch,lagorge.ch,+41 27 958 16 80,257,394
Hotel-Garni Jägerhof,Hotel de 3 estrellas tranquilo con restaurante y spa,"Saas-Fee, Suiza","Obere G. 16, 3906 Saas-Fee, Suiza",info@hotel-jaegerhof.ch,hotel-jaegerhof.ch,+41 27 957 13 10,255,106
Hotel Olympia,Hotel de 3 estrellas,"Saas-Almagell, Suiza","Furusandstrasse 7, 3905 Saas-Almagell, Suiza",welcome@hotel-olympia.ch,hotel-olympia.ch,+41 27 957 16 76,158,149
Hotel Christiania,Hotel de 3 estrellas,"Saas-Fee, Suiza","Dorfstrasse 21, 3906 Saas-Fee, Suiza",info@hotelchristiania.ch,hotelchristiania.ch,+41 27 957 31 66,230,126
Hotel Eden,Hotel de 3 estrellas,"Saas-Fee, Suiza","Wildistrasse 7, 3906 Saas-Fee, Suiza",NO_EMAIL,eden-arcade.ch,+41 27 958 18 18,215,36
Wellness-Hotel Christiania,Hotel de 3 estrellas,"Saas-Almagell, Suiza","Talstrasse 93, 3905 Saas-Almagell, Suiza",hotel.christiania@bluewin.ch,hotel-christiania.ch,+41 27 957 28 63,258,62
Wellnesshotel & Spa Zurbriggen,Hotel de 4 estrellas alpino chic con piscina y spa,"Saas-Almagell, Suiza","Furusandstrasse 16, 3905 Saas-Almagell, Suiza",pirmin.zurbriggen@rhone.ch,wellnesshotel-zurbriggen.ch,+41 27 957 23 01,405,374
