name,category,city,address,email,website,phone,price,n_reviews
AlpenGold Hotel,Hotel de 5 estrellas lujoso con restaurante y spa,"Davos, Suiza","Baslerstrasse 9, 7260 Davos, Suiza",christine.lee@ihg.com,ihg.com,+41 81 414 04 00,257,867
Spenglers Inn Hotel Davos,Hotel,"Davos, Suiza","Tobelmühlestrasse 2, 7270 Davos, Suiza",info@spenglersinn.ch,spenglersinn.ch,+41 81 415 16 50,66,212
AMERON Davos Swiss Mountain Resort,Hotel de 4 estrellas,"Davos, Suiza","Scalettastrasse 22, 7270 Davos, Suiza",information@ameronhotels.com,ameronhotels.com,+41 81 544 19 19,216,953
Hard Rock Hotel Davos,Hotel de 4 estrellas,NO_CITY,"Tobelmühlestrasse 2, 7270 Davos, Suiza",hotels@hardrock.com,hotel.hardrock.com,+41 81 415 16 00,179,1375
Precise Tale Seehof Davos Hotel,Hotel de 5 estrellas,"Davos, Suiza","Promenade 159, 7260 Davos, Suiza",info@precisehotels.com,precisehotels.com,+41 81 417 94 44,195,555
Hotel Concordia,Hotel de 3 estrellas,"Davos, Suiza","Promenade 124, 7260 Davos, Suiza",hotel@hotelconcordia.ch,hotelconcordia.ch,+41 81 416 32 22,115,162
Hotel Europe Davos,Hotel de 4 estrellas,"Davos, Suiza","Promenade 63, 7270 Davos, Suiza",info@europe-davos.ch,europe-davos.ch,+41 81 415 41 41,186,436
Grischa – DAS Hotel Davos,Hotel de 4 estrellas,"Davos, Suiza","Talstrasse 3, 7270 Davos, Suiza",info@hotelgrischa.ch,hotelgrischa.ch,+41 81 414 97 97,226,564
Hotel Edelweiss Davos,Hotel de 3 estrellas,"Davos, Suiza","Rossweidstrasse 9, 7270 Davos, Suiza",hotel@edelweiss-davos.ch,hotel-edelweiss-davos.ch,+41 81 416 10 33,173,452
Turmhotel Victoria,Hotel de 4 estrellas,"Davos, Suiza","Alte Flüelastrasse 2, 7260 Davos, Suiza",hotel@victoria-davos.ch,victoria-davos.ch,+41 81 417 53 00,192,540
Hotel Dischma Davos,Hotel,"Davos, Suiza","Promenade 128, 7260 Davos Dorf, Suiza",hotel@dischma.ch,dischma.ch,+41 81 410 12 50,157,317
Hotel Parsenn,Hotel de 3 estrellas acogedor con restaurante y terraza,"Davos, Suiza","Promenade 152, 7260 Davos, Suiza",hotel@hotelparsenn.ch,hotelparsenn.ch,+41 81 416 32 32,151,287
Schatzalp,Hotel de 3 estrellas,"Davos, Suiza","Talstation Schatzalp Bahn, Platz / Schatzalp CH, Promenade 63, 7270 Davos, Suiza",info@schatzalp.ch,schatzalp.ch,+41 81 415 51 51,314,945
