name,category,city,address,email,website,phone,price,n_reviews
Waldhotel Unspunnen,Hotel de 2 estrellas,"Interlaken, Suiza","Wagnerenstrasse 15, 3800 Interlaken, Suiza",mail@waldhotel-interlaken.ch,waldhotel-interlaken.ch,+41 33 822 34 91,164,369
Alplodge Interlaken,Hotel,"Interlaken, Suiza","Marktgasse 59, 3800 Interlaken, Suiza",info@alplodge.com,alplodge.com,+41 33 822 47 48,223,327
Hotel Bernerhof Interlaken,Hotel de 3 estrellas,"Interlaken, Suiza","Bahnhofstrasse 16, 3800 Interlaken, Suiza",info@bernerhof-interlaken.ch,bernerhof-interlaken.ch,+41 33 826 76 76,204,517
Victoria-Jungfrau Grand Hotel & Spa,"Hotel de 5 estrellas con restaurantes, spa y piscina","Interlaken, Suiza","Höheweg 41, 3800 Interlaken, Suiza",receptionvj@spanescens.com,victoria-jungfrau.ch,+41 33 828 28 28,1077,2334
Grand Hotel Beau Rivage,Hotel refinado junto al río con spa,"Interlaken, Suiza","Höheweg 211, 3800 Interlaken, Suiza",info@grandbeaurivage.ch,grandbeaurivage.ch,+41 33 826 70 07,486,1148
Backpackers Villa Sonnenhof - Hostel Interlaken,JugendherbergeAlbergue sencillo con bar y sala de TV,"Interlaken, Suiza","Alpenstrasse 16, 3800 Interlaken, Suiza",contact@villa.ch,villa.ch,+41 33 826 71 71,119,1135
5th Floor @ Hotel Interlaken - Basic Rooms,Hotel,"Interlaken, Suiza","Höheweg 74/5 Stock, 3800 Interlaken, Suiza",info@hotelinterlaken.ch,5thfloor.ch,+41 33 826 68 68,182,38
Beausite Interlaken,Hotel de 3 estrellas,"Unterseen, Suiza","Seestrasse 16, 3800 Unterseen, Suiza",info@beausite.ch,beausite.ch,+41 33 826 75 75,542,724
Boutique Hotel Bellevue Interlaken,Hotel de 4 estrellas,"Interlaken, Suiza","Marktgasse 59, 3800 Interlaken, Suiza",info@bellevue-interlaken.ch,hotel-bellevue-interlaken.ch,+41 33 822 44 31,475,530
Swiss Inn Hotel & Apartments,Hotel,"Interlaken, Suiza","General Guisanstrasse 23, 3800 Interlaken, Suiza",info@swiss-inn.ch,swiss-inn.ch,+41 33 822 36 26,264,158
Hotel Metropole,Hotel de 4 estrellas,"Interlaken, Suiza","Höheweg 37, 3800 Interlaken, Suiza",mail@metropole-interlaken.ch,metropole-interlaken.ch,+41 33 828 66 66,319,1136
Adventure Guesthouse Interlaken,Hotel,"Unterseen, Suiza","Helvetiastrasse 29, 3800 Unterseen, Suiza",info@adventure-guesthouse.ch,adventure-guesthouse.ch,+41 77 456 23 38,194,127
Zentrum Artos Interlaken,Hotel de 3 estrellas informal con spa y restaurante,"Interlaken, Suiza","Alpenstrasse 45, 3800 Interlaken, Suiza",mail@artos.ch,artos.ch,+41 33 828 88 77,320,260
Adventure Hostel Interlaken,Hotel,"Interlaken, Suiza","Seestrasse 44, 3800 Interlaken, Suiza",info@adventure-hostel.com,adventure-hostel.com,+41 79 827 27 27,184,299
Hotel Bed & Breakfast Alphorn,Hotel de 2 estrellas,"Interlaken, Suiza","Rothornstrasse 29A, 3800 Interlaken, Suiza",info@hotel-alphorn.ch,hotel-alphorn.ch,+41 33 822 30 51,205,255
Stella Hotel Interlaken,Hotel de 4 estrellas,"Interlaken, Suiza","General Guisanstrasse 2, 3800 Interlaken, Suiza",info@stella-hotel.ch,stella-hotel.ch,+41 33 822 88 71,510,622
THE HEY HOTEL INTERLAKEN,Hotel,"Interlaken, Suiza","Höheweg 7, 3800 Interlaken, Suiza",hey@theheyhotel.ch,theheyhotel.ch,+41 33 827 87 87,460,608
Hotel Weisses Kreuz,Hotel de 3 estrellas,"Interlaken, Suiza","Jungfraustrasse 2, 3800 Interlaken, Suiza",mail@weisseskreuz.ch,weisseskreuz.ch,+41 33 826 03 50,354,720
Hotel du Nord Interlaken,Hotel de 4 estrellas,"Interlaken, Suiza","Höheweg 70, 3800 Interlaken, Suiza",info@hotel-dunord.ch,hotel-dunord.ch,+41 33 827 50 50,393,595
Essential by Dorint Interlaken,Hotel,"Interlaken, Suiza","Rugenparkstrasse 8/10, 3800 Interlaken, Suiza",info@dorint.com,dorint.com,+41 33 820 91 00,499,60
Hotel Restaurant Burgseeli,Hotel,"Ringgenberg, Suiza","Hauptstrasse 79, 3805 Goldswil b. Interlaken, Suiza",info@burgseeli.ch,burgseeli.ch,+41 33 823 02 22,260,896
Salzano,Hotel de 3 estrellas,"Interlaken, Suiza","Seestrasse 108, 3800 Interlaken, Suiza",welcome@salzano.ch,salzano.ch,+41 33 821 00 70,318,857
Swiss Hotel Apartments - Interlaken,Hotel,"Interlaken, Suiza","Untere Bönigstrasse 8, 3800 Interlaken, Suiza",hello@swisshotelapartments.ch,swisshotelapartments.ch,+41 79 781 99 99,983,131
Hotel Post-Hardermannli,Hotel de 2 estrellas,"Unterseen, Suiza","Hauptstrasse 18, 3800 Unterseen, Suiza",info@post-hardermannli.ch,post-hardermannli.ch,+41 33 822 89 19,264,255
Hotel & Restaurant Krebs with Garden-Terrace,Hotel de 4 estrellas,"Interlaken, Suiza","Bahnhofstrasse 4, 3800 Interlaken, Suiza",info@krebshotel.ch,krebshotel.ch,+41 33 826 03 30,408,1256
Seehotel Bönigen,Hotel de 3 estrellas,"Bönigen, Suiza","Seestrasse 22, 3806 Bönigen, Suiza",info@seehotel-boenigen.ch,seehotel-boenigen.ch,+41 33 827 07 70,273,375
Hotel Alpenblick,Hotel de 3 estrellas,"Wilderswil, Suiza","Oberdorfstrasse 3, 3812 Wilderswil, Suiza",info@hotel-alpenblick.ch,hotel-alpenblick.ch,+41 33 828 35 50,274,441
Merkur,Hotel de 3 estrellas,"Interlaken, Suiza","Bahnhofstrasse 35, 3800 Interlaken, Suiza",customercare@localsearch.ch,yellow.local.ch,+41 33 826 77 88,376,333
"Alpina Boutique Hotel, Ringgenberg",Hotel,"Ringgenberg, Suiza","Beundenstrasse 43, 3852 Ringgenberg, Suiza",info@boutiquehotelalpina.ch,boutiquehotelalpina.ch,+41 33 820 72 10,310,205
Golf- & Strandhotel neuhaus zum see,Hotel de 3 estrellas,"Unterseen, Suiza","Seestrasse 119, 3800 Unterseen, Suiza",info@hotel-neuhaus.ch,hotel-neuhaus.ch,+41 33 822 82 82,277,450
